Date,Text,Likes,Retweets,Replies,Views,Has Image,Has Video,Is Retweet,Is Reply,Hashtags,URL
6h,"Heres your candle video",8,1,5,980,true,true,true,false,"",https://x.com/perturpis/status/2027133189412499473
6h,"aight i downloaded the app",18,2,7,1600,false,false,false,false,"",https://x.com/nichxbt/status/2027132224794157544
6h,"welcome",6,0,2,260,false,false,false,false,"",https://x.com/kayisagijr/status/2027132838043124055
6h,"i claimed",12,0,2,263,false,false,false,false,"",https://x.com/nichxbt/status/2027132997879914956
6h,"",58,2,18,5100,true,false,false,false,"",https://x.com/nichxbt/status/2027130459285782618
7h,"someone record this candle",27,0,9,1700,false,false,false,false,"",https://x.com/nichxbt/status/2027129573100634365
7h,"I don’t understand the hesitation of grabbing free money   Am I missing something?",2,0,1,372,false,false,false,false,"",https://x.com/fakespaceeeeee/status/2027129072573178251
7h,"i want a dev buy back candle larger than gake candle   nich candle now",9,0,1,343,false,false,false,false,"",https://x.com/nichxbt/status/2027129253524017449
7h,"@Ga__ke  nihao fine shyt",6,0,5,346,false,false,false,false,"",https://x.com/nichxbt/status/2027128149415497919
7h,"you has almost 4k$ claim it and buy it back",2,0,2,170,true,false,false,false,"",https://x.com/JVlogs1141906/status/2027128995104575797
7h,"is 100% buy back standard",5,0,2,130,false,false,false,false,"",https://x.com/nichxbt/status/2027129131935375390
7h,"easy bet",3,0,0,108,false,false,false,false,"",https://x.com/nichxbt/status/2027129075953991774
7h,"bro gonna milk this before claiming lol",1,0,2,175,false,false,false,false,"",https://x.com/dink_n_flicka/status/2027128542136275329
7h,"no legit if someone sends me a link i will",2,0,3,189,false,false,false,false,"",https://x.com/nichxbt/status/2027128802929996186
7h,"@a1lon9   @Pumpfun  i have a cook",22,4,5,2300,false,false,false,false,"",https://x.com/nichxbt/status/2027128544644743496
7h,"Is this eligible for hackathon",17,2,2,2600,false,false,true,false,"",https://x.com/lord_high_vol/status/2027128338054296056
7h,"wait",12,0,3,457,false,false,false,false,"",https://x.com/nichxbt/status/2027128448104407193
7h,"yo could u claim",1,0,1,123,false,false,false,false,"",https://x.com/Hiruzenaio/status/2027128199642030088
7h,"im trying they dont make it very user friendly yet they can improve",3,0,1,108,false,false,false,false,"",https://x.com/nichxbt/status/2027128396522938452
7h,"will do just claim brotato",4,0,2,277,false,false,false,false,"",https://x.com/Oskaras__/status/2027127584983523696
7h,"on it",7,0,2,174,false,false,false,false,"",https://x.com/nichxbt/status/2027127905772568618
7h,"claim and ur gonna be #1 on the page",4,0,1,418,false,false,false,false,"#1",https://x.com/Oskaras__/status/2027127487218495828
7h,"screenshot it when im number 1 please",6,0,2,415,false,false,false,false,"",https://x.com/nichxbt/status/2027127543296627102
7h,"Without a doubt yess",4,0,1,420,false,false,false,false,"",https://x.com/rodeoorat/status/2027126815777816885
